Po_num,Invoice_date,Requesting_auth,Approving_manager,Supplier,Product,Contract,Unit_price,PO_Quantity,City,Market_price,Total_cost
PO 00001,2016-01-01,Randall Smith,Jennifer Delgado,Rancher’s Grocery,Pumpkin,1,42.76,119,Lucknow,43.26,5088.44
PO 00002,2016-01-01,Elijah Collins,Dennis Williams,Food Festive,Banana,1,39.23,143,Nagpur,39.23,5609.89
PO 00003,2016-01-01,Angela Hernandez,Mark Mclean,Food Festive,Capsicum,1,22.57,91,Lucknow,22.57,2053.87
PO 00004,2016-01-01,Jake Cunningham,Jasmine Long,Future FoodBetter Bites Deli,Apple,1,24.49,98,Ahmedabad,24.49,2400.02
PO 00005,2016-01-01,Patrick Wolf,Jeanette Estes,Freshmart Co-op,Cabbage,1,49.93,77,NashikDelhi,49.93,3844.61
PO 00006,2016-01-01,Adrian Morgan,Jessica Keith,Freshmart Co-op,Capsicum,1,45.84,72,Chennai,46.34,3300.48
PO 00007,2016-01-01,Sara Adkins,Cathy Guzman,Go4Fresh,Cabbage,1,25.49,72,Mumbai,25.49,1835.28
PO 00008,2016-01-01,Lisa Smith,Danny Rivera,Fleet Market,Bringal,1,19.64,92,Nagpur,18.14,1806.88
PO 00009,2016-01-01,Caroline Walters,Catherine Farrell,Go4Fresh,Banana,0,14.6,136,Nagpur,14.6,1985.6
PO 00010,2016-01-01,Elijah Collins,Jasmine Long,Go4Fresh,Beans,0,41.11,110,Surat,39.61,4522.1
PO 00011,2016-01-01,Patricia Williams,Shelby Martinez,Global Fresh Market,Banana,1,15.95,144,Kolkatta,15.95,2296.8
PO 00012,2016-01-01,Jake Cunningham,Joshua Johnson,Dollar Pantry,Bringal,1,14.24,143,Chandigarh,15.24,2036.32
PO 00013,2016-01-01,Pamela Smith,Barry Salazar,Stocked Pantry,Apple,1,37.26,142,Jaipur,37.26,5290.92
PO 00014,2016-01-01,Jeffrey Murphy,Joshua Johnson,Stocked Pantry,Carrot,0,37.84,149,Chandigarh,38.34,5638.16
PO 00015,2016-01-02,Nicholas Pittman,Joshua Johnson,Freshmart Co-op,Banana,0,28.17,80,Lucknow,28.67,2253.6
